Source Function,Target Function
setRaiseRatio(uint256),"multiFreezeWithTimestamp(address[],uint256[])"
setMaxWei(uint256),"multiFreezeWithTimestamp(address[],uint256[])"
setRaisedAmount(uint256),"multiFreezeWithTimestamp(address[],uint256[])"
setMinWei(uint256),"multiFreezeWithTimestamp(address[],uint256[])"
"generateToken(address,uint256)","multiFreezeWithTimestamp(address[],uint256[])"
setExchangeFlag(bool),"multiFreezeWithTimestamp(address[],uint256[])"
changeAdmin(address),"multiFreezeWithTimestamp(address[],uint256[])"
setMaxRaiseAmount(uint256),"multiFreezeWithTimestamp(address[],uint256[])"
setMaxWei(uint256),setRaiseRatio(uint256)
setRaisedAmount(uint256),setRaiseRatio(uint256)
setMinWei(uint256),setRaiseRatio(uint256)
"generateToken(address,uint256)",setRaiseRatio(uint256)
setExchangeFlag(bool),setRaiseRatio(uint256)
changeAdmin(address),setRaiseRatio(uint256)
setMaxRaiseAmount(uint256),setRaiseRatio(uint256)
setRaiseRatio(uint256),setMaxWei(uint256)
setRaisedAmount(uint256),setMaxWei(uint256)
setMinWei(uint256),setMaxWei(uint256)
"generateToken(address,uint256)",setMaxWei(uint256)
setExchangeFlag(bool),setMaxWei(uint256)
changeAdmin(address),setMaxWei(uint256)
setMaxRaiseAmount(uint256),setMaxWei(uint256)
setRaiseRatio(uint256),setRaisedAmount(uint256)
setMaxWei(uint256),setRaisedAmount(uint256)
setMinWei(uint256),setRaisedAmount(uint256)
"generateToken(address,uint256)",setRaisedAmount(uint256)
setExchangeFlag(bool),setRaisedAmount(uint256)
changeAdmin(address),setRaisedAmount(uint256)
setMaxRaiseAmount(uint256),setRaisedAmount(uint256)
setRaiseRatio(uint256),setMinWei(uint256)
setMaxWei(uint256),setMinWei(uint256)
setRaisedAmount(uint256),setMinWei(uint256)
"generateToken(address,uint256)",setMinWei(uint256)
setExchangeFlag(bool),setMinWei(uint256)
changeAdmin(address),setMinWei(uint256)
setMaxRaiseAmount(uint256),setMinWei(uint256)
setRaiseRatio(uint256),"generateToken(address,uint256)"
setMaxWei(uint256),"generateToken(address,uint256)"
setRaisedAmount(uint256),"generateToken(address,uint256)"
setMinWei(uint256),"generateToken(address,uint256)"
setExchangeFlag(bool),"generateToken(address,uint256)"
changeAdmin(address),"generateToken(address,uint256)"
setMaxRaiseAmount(uint256),"generateToken(address,uint256)"
"multiFreezeWithTimestamp(address[],uint256[])","multiTransfer(address[],uint256[])"
"approve(address,uint256)","multiTransfer(address[],uint256[])"
"generateToken(address,uint256)","multiTransfer(address[],uint256[])"
"transferFrom(address,address,uint256)","multiTransfer(address[],uint256[])"
changeAdmin(address),"multiTransfer(address[],uint256[])"
"transfer(address,uint256)","multiTransfer(address[],uint256[])"
"freeze(address,bool)","multiTransfer(address[],uint256[])"
"multiFreeze(address[],bool[])","multiTransfer(address[],uint256[])"
"freezeWithTimestamp(address,uint256)","multiTransfer(address[],uint256[])"
"multiFreezeWithTimestamp(address[],uint256[])","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"generateToken(address,uint256)","transferFrom(address,address,uint256)"
"multiTransfer(address[],uint256[])","transferFrom(address,address,uint256)"
changeAdmin(address),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"freeze(address,bool)","transferFrom(address,address,uint256)"
"multiFreeze(address[],bool[])","transferFrom(address,address,uint256)"
"freezeWithTimestamp(address,uint256)","transferFrom(address,address,uint256)"
setRaiseRatio(uint256),withdraw(uint256)
setMaxWei(uint256),withdraw(uint256)
setRaisedAmount(uint256),withdraw(uint256)
setMinWei(uint256),withdraw(uint256)
"generateToken(address,uint256)",withdraw(uint256)
setExchangeFlag(bool),withdraw(uint256)
changeAdmin(address),withdraw(uint256)
setMaxRaiseAmount(uint256),withdraw(uint256)
setRaiseRatio(uint256),kill()
setMaxWei(uint256),kill()
setRaisedAmount(uint256),kill()
setMinWei(uint256),kill()
"generateToken(address,uint256)",kill()
setExchangeFlag(bool),kill()
changeAdmin(address),kill()
setMaxRaiseAmount(uint256),kill()
setRaiseRatio(uint256),setExchangeFlag(bool)
setMaxWei(uint256),setExchangeFlag(bool)
setRaisedAmount(uint256),setExchangeFlag(bool)
setMinWei(uint256),setExchangeFlag(bool)
"generateToken(address,uint256)",setExchangeFlag(bool)
changeAdmin(address),setExchangeFlag(bool)
setMaxRaiseAmount(uint256),setExchangeFlag(bool)
setRaiseRatio(uint256),changeAdmin(address)
setMaxWei(uint256),changeAdmin(address)
setRaisedAmount(uint256),changeAdmin(address)
setMinWei(uint256),changeAdmin(address)
"generateToken(address,uint256)",changeAdmin(address)
setExchangeFlag(bool),changeAdmin(address)
setMaxRaiseAmount(uint256),changeAdmin(address)
"multiFreezeWithTimestamp(address[],uint256[])","transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"generateToken(address,uint256)","transfer(address,uint256)"
"multiTransfer(address[],uint256[])","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
changeAdmin(address),"transfer(address,uint256)"
"freeze(address,bool)","transfer(address,uint256)"
"multiFreeze(address[],bool[])","transfer(address,uint256)"
"freezeWithTimestamp(address,uint256)","transfer(address,uint256)"
setRaiseRatio(uint256),"freeze(address,bool)"
setMaxWei(uint256),"freeze(address,bool)"
setRaisedAmount(uint256),"freeze(address,bool)"
setMinWei(uint256),"freeze(address,bool)"
"generateToken(address,uint256)","freeze(address,bool)"
setExchangeFlag(bool),"freeze(address,bool)"
changeAdmin(address),"freeze(address,bool)"
setMaxRaiseAmount(uint256),"freeze(address,bool)"
setRaiseRatio(uint256),"multiFreeze(address[],bool[])"
setMaxWei(uint256),"multiFreeze(address[],bool[])"
setRaisedAmount(uint256),"multiFreeze(address[],bool[])"
setMinWei(uint256),"multiFreeze(address[],bool[])"
"generateToken(address,uint256)","multiFreeze(address[],bool[])"
setExchangeFlag(bool),"multiFreeze(address[],bool[])"
changeAdmin(address),"multiFreeze(address[],bool[])"
setMaxRaiseAmount(uint256),"multiFreeze(address[],bool[])"
setRaiseRatio(uint256),setMaxRaiseAmount(uint256)
setMaxWei(uint256),setMaxRaiseAmount(uint256)
setRaisedAmount(uint256),setMaxRaiseAmount(uint256)
setMinWei(uint256),setMaxRaiseAmount(uint256)
"generateToken(address,uint256)",setMaxRaiseAmount(uint256)
setExchangeFlag(bool),setMaxRaiseAmount(uint256)
changeAdmin(address),setMaxRaiseAmount(uint256)
setRaiseRatio(uint256),"freezeWithTimestamp(address,uint256)"
setMaxWei(uint256),"freezeWithTimestamp(address,uint256)"
setRaisedAmount(uint256),"freezeWithTimestamp(address,uint256)"
setMinWei(uint256),"freezeWithTimestamp(address,uint256)"
"generateToken(address,uint256)","freezeWithTimestamp(address,uint256)"
setExchangeFlag(bool),"freezeWithTimestamp(address,uint256)"
changeAdmin(address),"freezeWithTimestamp(address,uint256)"
setMaxRaiseAmount(uint256),"freezeWithTimestamp(address,uint256)"
