Source Function,Target Function
"approve(address,uint256)",changeDoggy(uint256)
"transferFrom(address,address,uint256)",changeDoggy(uint256)
"transfer(address,uint256)",changeDoggy(uint256)
takeOwnership(uint256),changeDoggy(uint256)
purchase(uint256),changeDoggy(uint256)
"approve(address,uint256)",ownerOf(uint256)
"transferFrom(address,address,uint256)",ownerOf(uint256)
changeDoggy(uint256),ownerOf(uint256)
"transfer(address,uint256)",ownerOf(uint256)
takeOwnership(uint256),ownerOf(uint256)
purchase(uint256),ownerOf(uint256)
"approve(address,uint256)",purchase(uint256)
"transferFrom(address,address,uint256)",purchase(uint256)
changeDoggy(uint256),purchase(uint256)
"transfer(address,uint256)",purchase(uint256)
takeOwnership(uint256),purchase(uint256)
