Source Function,Target Function
addAmbassador(address),setMarket2(address)
"setAdministrator(address,bool)",setMarket2(address)
"transfer(address,uint256)",setMarket2(address)
reinvest(),setMarket2(address)
"setAdministrator(address,bool)",addAmbassador(address)
"transfer(address,uint256)",addAmbassador(address)
reinvest(),addAmbassador(address)
addAmbassador(address),setMarket3(address)
"setAdministrator(address,bool)",setMarket3(address)
"transfer(address,uint256)",setMarket3(address)
reinvest(),setMarket3(address)
addAmbassador(address),setMarket1(address)
"setAdministrator(address,bool)",setMarket1(address)
"transfer(address,uint256)",setMarket1(address)
reinvest(),setMarket1(address)
addAmbassador(address),"setMarketingRates(uint8,uint8,uint8)"
"setAdministrator(address,bool)","setMarketingRates(uint8,uint8,uint8)"
"transfer(address,uint256)","setMarketingRates(uint8,uint8,uint8)"
reinvest(),"setMarketingRates(uint8,uint8,uint8)"
addAmbassador(address),setStakingRequirement(uint256)
"setAdministrator(address,bool)",setStakingRequirement(uint256)
"transfer(address,uint256)",setStakingRequirement(uint256)
reinvest(),setStakingRequirement(uint256)
addAmbassador(address),"setAdministrator(address,bool)"
"transfer(address,uint256)","setAdministrator(address,bool)"
reinvest(),"setAdministrator(address,bool)"
addAmbassador(address),setContractActive(bool)
"setAdministrator(address,bool)",setContractActive(bool)
"transfer(address,uint256)",setContractActive(bool)
reinvest(),setContractActive(bool)
addAmbassador(address),disableInitialStage()
"setAdministrator(address,bool)",disableInitialStage()
"transfer(address,uint256)",disableInitialStage()
reinvest(),disableInitialStage()
addAmbassador(address),setSymbol(string)
"setAdministrator(address,bool)",setSymbol(string)
"transfer(address,uint256)",setSymbol(string)
reinvest(),setSymbol(string)
addAmbassador(address),setName(string)
"setAdministrator(address,bool)",setName(string)
"transfer(address,uint256)",setName(string)
reinvest(),setName(string)
addAmbassador(address),"setExchangeRates(uint256,uint256)"
"setAdministrator(address,bool)","setExchangeRates(uint256,uint256)"
"transfer(address,uint256)","setExchangeRates(uint256,uint256)"
reinvest(),"setExchangeRates(uint256,uint256)"
