Source Function,Target Function
setRandomContract(address),unpause()
renounceOwnership(),unpause()
pause(),unpause()
addLuckyblock(uint256),unpause()
transferOwnership(address),unpause()
setRandomContract(address),renounceOwnership()
unpause(),renounceOwnership()
pause(),renounceOwnership()
addLuckyblock(uint256),renounceOwnership()
transferOwnership(address),renounceOwnership()
setRandomContract(address),pause()
unpause(),pause()
renounceOwnership(),pause()
addLuckyblock(uint256),pause()
transferOwnership(address),pause()
start(bytes32),play(bytes32)
"updateLuckyblockEarn(bytes32,address[],uint256[],int256[],uint256,int256)",play(bytes32)
transferSuperuser(address),play(bytes32)
"updateLuckyblockSpend(bytes32,address[],uint256[],uint256)",play(bytes32)
stop(bytes32),play(bytes32)
addLuckyblock(uint256),play(bytes32)
