Source Function,Target Function
setStakingRequirement(uint256),calculateEthereumReceived(uint256)
disableInitialStage(),calculateEthereumReceived(uint256)
setSymbol(string),calculateEthereumReceived(uint256)
setName(string),calculateEthereumReceived(uint256)
"setAdministrator(address,bool)",setStakingRequirement(uint256)
"transfer(address,uint256)",setStakingRequirement(uint256)
Exorbuxcom(),setStakingRequirement(uint256)
reinvest(),setStakingRequirement(uint256)
"transfer(address,uint256)","setAdministrator(address,bool)"
Exorbuxcom(),"setAdministrator(address,bool)"
reinvest(),"setAdministrator(address,bool)"
"setAdministrator(address,bool)",disableInitialStage()
"transfer(address,uint256)",disableInitialStage()
Exorbuxcom(),disableInitialStage()
reinvest(),disableInitialStage()
"setAdministrator(address,bool)",setSymbol(string)
"transfer(address,uint256)",setSymbol(string)
Exorbuxcom(),setSymbol(string)
reinvest(),setSymbol(string)
"setAdministrator(address,bool)",setName(string)
"transfer(address,uint256)",setName(string)
Exorbuxcom(),setName(string)
reinvest(),setName(string)
