Source Function,Target Function
unpause(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
"burn(address,uint256)","approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
"burn(address,uint256)","transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"increaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
"decreaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
"freezeAccount(address,bool)","transferFrom(address,address,uint256)"
unpause(),"increaseAllowance(address,uint256)"
pause(),"increaseAllowance(address,uint256)"
"burn(address,uint256)","increaseAllowance(address,uint256)"
transferOwnership(address),"increaseAllowance(address,uint256)"
pause(),unpause()
"burn(address,uint256)",unpause()
transferOwnership(address),unpause()
unpause(),pause()
"burn(address,uint256)",pause()
transferOwnership(address),pause()
"approve(address,uint256)","burn(address,uint256)"
"transferFrom(address,address,uint256)","burn(address,uint256)"
"increaseAllowance(address,uint256)","burn(address,uint256)"
"decreaseAllowance(address,uint256)","burn(address,uint256)"
"freezeAccount(address,bool)","burn(address,uint256)"
unpause(),"decreaseAllowance(address,uint256)"
pause(),"decreaseAllowance(address,uint256)"
"burn(address,uint256)","decreaseAllowance(address,uint256)"
transferOwnership(address),"decreaseAllowance(address,uint256)"
unpause(),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
"burn(address,uint256)","transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"increaseAllowance(address,uint256)","transfer(address,uint256)"
"decreaseAllowance(address,uint256)","transfer(address,uint256)"
"freezeAccount(address,bool)","transfer(address,uint256)"
